2026-04-24 19:40:34,725 [INFO] Detection started. Press 'q' to quit.
2026-04-24 19:40:41,191 [INFO] Frame 00149 | Face @ (262,266) size=205x205 | Eyes detected: 1
2026-04-24 19:40:41,225 [INFO] Frame 00150 | Face @ (262,266) size=205x205 | Eyes detected: 1
2026-04-24 19:40:41,259 [INFO] Frame 00151 | Face @ (261,263) size=207x207 | Eyes detected: 1
2026-04-24 19:40:41,299 [INFO] Frame 00152 | Face @ (261,263) size=207x207 | Eyes detected: 1
2026-04-24 19:40:41,349 [INFO] Frame 00153 | Face @ (261,263) size=207x207 | Eyes detected: 1
2026-04-24 19:40:41,391 [INFO] Frame 00154 | Face @ (264,264) size=204x204 | Eyes detected: 2
2026-04-24 19:40:41,432 [INFO] Frame 00155 | Face @ (264,267) size=200x200 | Eyes detected: 1
2026-04-24 19:40:41,474 [INFO] Frame 00156 | Face @ (264,267) size=200x200 | Eyes detected: 1
2026-04-24 19:40:41,516 [INFO] Frame 00157 | Face @ (263,266) size=202x202 | Eyes detected: 1
2026-04-24 19:40:41,567 [INFO] Frame 00158 | Face @ (262,266) size=203x203 | Eyes detected: 1
2026-04-24 19:40:41,615 [INFO] Frame 00159 | Face @ (262,266) size=203x203 | Eyes detected: 1
2026-04-24 19:40:41,656 [INFO] Frame 00160 | Face @ (263,266) size=202x202 | Eyes detected: 2
2026-04-24 19:40:41,691 [INFO] Frame 00161 | Face @ (263,266) size=202x202 | Eyes detected: 2
2026-04-24 19:40:41,742 [INFO] Frame 00162 | Face @ (263,266) size=202x202 | Eyes detected: 2
2026-04-24 19:40:41,791 [INFO] Frame 00163 | Face @ (263,266) size=203x203 | Eyes detected: 0
2026-04-24 19:40:41,841 [INFO] Frame 00164 | Face @ (264,268) size=201x201 | Eyes detected: 0
2026-04-24 19:40:41,895 [INFO] Frame 00165 | Face @ (261,269) size=204x204 | Eyes detected: 0
2026-04-24 19:40:41,938 [INFO] Frame 00166 | Face @ (261,269) size=204x204 | Eyes detected: 0
2026-04-24 19:40:41,975 [INFO] Frame 00167 | Face @ (262,267) size=204x204 | Eyes detected: 0
2026-04-24 19:40:42,017 [INFO] Frame 00168 | Face @ (262,267) size=204x204 | Eyes detected: 0
2026-04-24 19:40:42,066 [INFO] Frame 00169 | Face @ (262,268) size=205x205 | Eyes detected: 0
2026-04-24 19:40:42,108 [INFO] Frame 00170 | Face @ (262,268) size=205x205 | Eyes detected: 0
2026-04-24 19:40:42,149 [INFO] Frame 00171 | Face @ (262,268) size=205x205 | Eyes detected: 0
2026-04-24 19:40:42,182 [INFO] Frame 00172 | Face @ (257,265) size=208x208 | Eyes detected: 0
2026-04-24 19:40:42,241 [INFO] Frame 00173 | Face @ (261,266) size=204x204 | Eyes detected: 0
2026-04-24 19:40:42,283 [INFO] Frame 00174 | Face @ (261,266) size=204x204 | Eyes detected: 0
2026-04-24 19:40:42,305 [INFO] Frame 00175 | Face @ (261,265) size=204x204 | Eyes detected: 0
2026-04-24 19:40:42,366 [INFO] Frame 00176 | Face @ (259,266) size=203x203 | Eyes detected: 0
2026-04-24 19:40:42,408 [INFO] Frame 00177 | Face @ (259,266) size=203x203 | Eyes detected: 0
2026-04-24 19:40:42,449 [INFO] Frame 00178 | Face @ (259,266) size=203x203 | Eyes detected: 0
2026-04-24 19:40:42,491 [INFO] Frame 00179 | Face @ (259,264) size=203x203 | Eyes detected: 0
2026-04-24 19:40:42,526 [INFO] Frame 00180 | Face @ (259,264) size=203x203 | Eyes detected: 0
2026-04-24 19:40:42,561 [INFO] Frame 00181 | Face @ (260,263) size=202x202 | Eyes detected: 0
2026-04-24 19:40:42,601 [INFO] Frame 00182 | Face @ (260,264) size=201x201 | Eyes detected: 0
2026-04-24 19:40:42,633 [INFO] Frame 00183 | Face @ (260,264) size=201x201 | Eyes detected: 0
2026-04-24 19:40:42,668 [INFO] Frame 00184 | Face @ (260,264) size=199x199 | Eyes detected: 0
2026-04-24 19:40:42,700 [INFO] Frame 00185 | Face @ (260,264) size=199x199 | Eyes detected: 0
2026-04-24 19:40:42,734 [INFO] Frame 00186 | Face @ (258,263) size=203x203 | Eyes detected: 0
2026-04-24 19:40:42,774 [INFO] Frame 00187 | Face @ (260,264) size=202x202 | Eyes detected: 0
2026-04-24 19:40:42,839 [INFO] Frame 00188 | Face @ (258,260) size=205x205 | Eyes detected: 0
2026-04-24 19:40:42,883 [INFO] Frame 00189 | Face @ (258,260) size=205x205 | Eyes detected: 0
2026-04-24 19:40:42,941 [INFO] Frame 00190 | Face @ (259,260) size=202x202 | Eyes detected: 0
2026-04-24 19:40:42,974 [INFO] Frame 00191 | Face @ (260,262) size=201x201 | Eyes detected: 0
2026-04-24 19:40:43,024 [INFO] Frame 00192 | Face @ (260,262) size=201x201 | Eyes detected: 0
2026-04-24 19:40:43,065 [INFO] Frame 00193 | Face @ (260,262) size=199x199 | Eyes detected: 0
2026-04-24 19:40:43,099 [INFO] Frame 00194 | Face @ (260,262) size=199x199 | Eyes detected: 0
2026-04-24 19:40:43,133 [INFO] Frame 00195 | Face @ (257,260) size=205x205 | Eyes detected: 0
2026-04-24 19:40:43,169 [INFO] Frame 00196 | Face @ (257,260) size=205x205 | Eyes detected: 0
2026-04-24 19:40:43,201 [INFO] Frame 00197 | Face @ (258,261) size=202x202 | Eyes detected: 0
2026-04-24 19:40:43,232 [INFO] Frame 00198 | Face @ (256,257) size=207x207 | Eyes detected: 0
2026-04-24 19:40:43,304 [INFO] Frame 00199 | Face @ (260,263) size=200x200 | Eyes detected: 0
2026-04-24 19:40:43,362 [INFO] Frame 00200 | Face @ (260,263) size=200x200 | Eyes detected: 0
2026-04-24 19:40:43,399 [INFO] Frame 00201 | Face @ (260,263) size=200x200 | Eyes detected: 0
2026-04-24 19:40:43,446 [INFO] Frame 00202 | Face @ (258,259) size=204x204 | Eyes detected: 0
2026-04-24 19:40:43,499 [INFO] Frame 00203 | Face @ (258,259) size=204x204 | Eyes detected: 0
2026-04-24 19:40:43,532 [INFO] Frame 00204 | Face @ (259,260) size=204x204 | Eyes detected: 0
2026-04-24 19:40:43,579 [INFO] Frame 00205 | Face @ (261,262) size=200x200 | Eyes detected: 0
2026-04-24 19:40:43,641 [INFO] Frame 00206 | Face @ (260,262) size=200x200 | Eyes detected: 0
2026-04-24 19:40:43,682 [INFO] Frame 00207 | Face @ (260,262) size=200x200 | Eyes detected: 0
2026-04-24 19:40:43,741 [INFO] Frame 00208 | Face @ (260,260) size=201x201 | Eyes detected: 0
2026-04-24 19:40:43,774 [INFO] Frame 00209 | Face @ (260,261) size=201x201 | Eyes detected: 0
2026-04-24 19:40:43,815 [INFO] Frame 00210 | Face @ (260,261) size=201x201 | Eyes detected: 0
2026-04-24 19:40:43,850 [INFO] Frame 00211 | Face @ (263,264) size=197x197 | Eyes detected: 0
2026-04-24 19:40:43,883 [INFO] Frame 00212 | Face @ (263,264) size=197x197 | Eyes detected: 0
2026-04-24 19:40:43,941 [INFO] Frame 00213 | Face @ (260,262) size=199x199 | Eyes detected: 0
2026-04-24 19:40:43,982 [INFO] Frame 00214 | Face @ (261,263) size=198x198 | Eyes detected: 0
2026-04-24 19:40:44,041 [INFO] Frame 00215 | Face @ (259,260) size=201x201 | Eyes detected: 0
2026-04-24 19:40:44,083 [INFO] Frame 00216 | Face @ (259,260) size=201x201 | Eyes detected: 0
2026-04-24 19:40:44,118 [INFO] Frame 00217 | Face @ (258,261) size=203x203 | Eyes detected: 0
2026-04-24 19:40:44,167 [INFO] Frame 00218 | Face @ (261,261) size=200x200 | Eyes detected: 0
2026-04-24 19:40:44,207 [INFO] Frame 00219 | Face @ (261,261) size=200x200 | Eyes detected: 0
2026-04-24 19:40:44,240 [INFO] Frame 00220 | Face @ (258,262) size=201x201 | Eyes detected: 0
2026-04-24 19:40:44,282 [INFO] Frame 00221 | Face @ (258,262) size=201x201 | Eyes detected: 0
2026-04-24 19:40:44,324 [INFO] Frame 00222 | Face @ (260,261) size=202x202 | Eyes detected: 0
2026-04-24 19:40:44,366 [INFO] Frame 00223 | Face @ (260,261) size=202x202 | Eyes detected: 0
2026-04-24 19:40:44,401 [INFO] Frame 00224 | Face @ (260,261) size=202x202 | Eyes detected: 0
2026-04-24 19:40:44,433 [INFO] Frame 00225 | Face @ (259,261) size=202x202 | Eyes detected: 0
2026-04-24 19:40:44,474 [INFO] Frame 00226 | Face @ (259,261) size=202x202 | Eyes detected: 0
2026-04-24 19:40:44,516 [INFO] Frame 00227 | Face @ (258,261) size=202x202 | Eyes detected: 0
2026-04-24 19:40:44,550 [INFO] Frame 00228 | Face @ (258,261) size=202x202 | Eyes detected: 0
2026-04-24 19:40:44,590 [INFO] Frame 00229 | Face @ (260,261) size=201x201 | Eyes detected: 0
2026-04-24 19:40:44,649 [INFO] Frame 00230 | Face @ (258,259) size=204x204 | Eyes detected: 0
2026-04-24 19:40:44,702 [INFO] Frame 00231 | Face @ (258,259) size=204x204 | Eyes detected: 0
2026-04-24 19:40:44,758 [INFO] Frame 00232 | Face @ (260,261) size=200x200 | Eyes detected: 0
2026-04-24 19:40:44,808 [INFO] Frame 00233 | Face @ (260,261) size=200x200 | Eyes detected: 0
2026-04-24 19:40:44,843 [INFO] Frame 00234 | Face @ (258,259) size=204x204 | Eyes detected: 0
2026-04-24 19:40:44,909 [INFO] Frame 00235 | Face @ (259,263) size=201x201 | Eyes detected: 0
2026-04-24 19:40:44,982 [INFO] Frame 00236 | Face @ (257,262) size=204x204 | Eyes detected: 0
2026-04-24 19:40:45,025 [INFO] Frame 00237 | Face @ (257,262) size=204x204 | Eyes detected: 0
2026-04-24 19:40:45,059 [INFO] Frame 00238 | Face @ (258,263) size=202x202 | Eyes detected: 0
2026-04-24 19:40:45,107 [INFO] Frame 00239 | Face @ (258,263) size=202x202 | Eyes detected: 0
2026-04-24 19:40:45,173 [INFO] Frame 00240 | Face @ (258,263) size=202x202 | Eyes detected: 0
2026-04-24 19:40:45,225 [INFO] Frame 00241 | Face @ (257,261) size=204x204 | Eyes detected: 0
2026-04-24 19:40:45,257 [INFO] Frame 00242 | Face @ (257,262) size=205x205 | Eyes detected: 0
2026-04-24 19:40:45,291 [INFO] Frame 00243 | Face @ (257,262) size=205x205 | Eyes detected: 0
2026-04-24 19:40:45,326 [INFO] Frame 00244 | Face @ (259,261) size=205x205 | Eyes detected: 0
2026-04-24 19:40:45,383 [INFO] Frame 00245 | Face @ (255,259) size=205x205 | Eyes detected: 0
